0,1,departure,destination,distance,weighted_distance,log
"('48187', '48188')",1,48187,48188,556.943319699,556.943319699,inf
"('84043', '95206')",1,84043,95206,1067907.24747,1067907.24747,inf
"('16354', '85258')",1,16354,85258,3571440.35681,3571440.35681,inf
"('78148', '78240')",1,78148,78240,34606.1129812,34606.1129812,inf
"('27520', '27527')",2,27520,27527,10625.5380152,5312.76900762,15330.4110014
"('84128', '90401')",1,84128,90401,782956.262414,782956.262414,inf
"('32608', '93033')",1,32608,93033,4080905.74804,4080905.74804,inf
"('70815', '70816')",1,70815,70816,4925.61227778,4925.61227778,inf
"('30354', '33155')",1,30354,33155,467122.75381,467122.75381,inf
"('11717', '33605')",1,11717,33605,1057686.59567,1057686.59567,inf
"('78236', '93033')",1,78236,93033,2285064.68262,2285064.68262,inf
"('13456', '43085')",1,13456,43085,864507.896867,864507.896867,inf
"('11232', '45011')",1,11232,45011,1166675.89628,1166675.89628,inf
"('74055', '85043')",1,74055,85043,1822208.63001,1822208.63001,inf
"('95826', '95827')",2,95826,95827,5984.67673484,2992.33836742,8635.06344667
"('60431', '60436')",1,60431,60436,5662.18826152,5662.18826152,inf
"('38119', '38120')",1,38119,38120,807.378627117,807.378627117,inf
"('44901', '65605')",1,44901,65605,1238631.55286,1238631.55286,inf
"('80303', '98370')",1,80303,98370,1964266.30128,1964266.30128,inf
"('27604', '27609')",1,27604,27609,8018.74770242,8018.74770242,inf
"('39440', '39443')",1,39440,39443,7682.67516501,7682.67516501,inf
"('11747', '64055')",1,11747,64055,2333869.36456,2333869.36456,inf
"('85213', '85281')",1,85213,85281,18367.0929405,18367.0929405,inf
"('60048', '78735')",1,60048,78735,1098913.28238,1098913.28238,inf
"('93420', '93449')",1,93420,93449,19929.2030144,19929.2030144,inf
"('28462', '94010')",1,28462,94010,4899137.49016,4899137.49016,inf
"('11735', '92840')",1,11735,92840,4939158.2171,4939158.2171,inf
"('90650', '91746')",1,90650,91746,12984.6437932,12984.6437932,inf
"('48867', '92630')",1,48867,92630,3717412.01353,3717412.01353,inf
"('85750', '97034')",1,85750,97034,1464612.37462,1464612.37462,inf
"('46183', '51101')",1,46183,51101,1124139.99648,1124139.99648,inf
"('60436', '60473')",1,60436,60473,58951.1851779,58951.1851779,inf
"('37415', '95119')",1,37415,95119,4058749.36324,4058749.36324,inf
"('77803', '90301')",1,77803,90301,2444709.37068,2444709.37068,inf
"('59736', '92705')",1,59736,92705,738892.114873,738892.114873,inf
"('84065', '90631')",1,84065,90631,734475.426985,734475.426985,inf
"('10027', '90022')",1,10027,90022,4906813.25045,4906813.25045,inf
"('93010', '93012')",1,93010,93012,9827.93684325,9827.93684325,inf
"('14305', '19555')",1,14305,19555,347027.429636,347027.429636,inf
"('95111', '95128')",1,95111,95128,12390.928955,12390.928955,inf
"('36854', '84405')",1,36854,84405,2972622.13443,2972622.13443,inf
"('93033', '96913')",1,93033,96913,10845481.2597,10845481.2597,inf
"('83857', '92618')",1,83857,92618,680639.690832,680639.690832,inf
"('33314', '33328')",2,33314,33328,5800.93820075,2900.46910038,8369.98477473
"('85204', '85213')",3,85204,85213,2934.26959209,978.089864032,2671.88728422
"('35634', '92649')",1,35634,92649,3384389.97793,3384389.97793,inf
"('33762', '77088')",1,33762,77088,1420096.55378,1420096.55378,inf
"('93701', '93703')",1,93701,93703,3005.52533777,3005.52533777,inf
"('20155', '33705')",1,20155,33705,594856.78751,594856.78751,inf
"('75006', '91342')",1,75006,91342,2389157.3815,2389157.3815,inf
"('23803', '39525')",1,23803,39525,1320803.108,1320803.108,inf
"('93036', '98002')",1,93036,98002,813082.920031,813082.920031,inf
"('17402', '28723')",1,17402,28723,713295.15359,713295.15359,inf
"('30043', '46124')",1,30043,46124,219420.72279,219420.72279,inf
"('65806', '65807')",1,65806,65807,2858.83901094,2858.83901094,inf
"('20785', '23111')",1,20785,23111,51640.9422851,51640.9422851,inf
"('20785', '21045')",2,20785,21045,9413.82008928,4706.91004464,13582.2715586
"('30121', '92627')",1,30121,92627,3685171.17196,3685171.17196,inf
"('95350', '95354')",1,95350,95354,5102.04249375,5102.04249375,inf
"('84119', '94546')",1,84119,94546,1136467.03046,1136467.03046,inf
"('53406', '67449')",1,53406,67449,1003529.22003,1003529.22003,inf
"('36426', '60609')",1,36426,60609,84713.5075013,84713.5075013,inf
"('31803', '37877')",1,31803,37877,128986.793035,128986.793035,inf
"('17053', '17074')",1,17053,17074,14106.0747944,14106.0747944,inf
"('30004', '43085')",1,30004,43085,159721.113654,159721.113654,inf
"('20624', '85382')",1,20624,85382,3946012.77096,3946012.77096,inf
"('94062', '94063')",1,94062,94063,12061.2598539,12061.2598539,inf
"('44077', '85258')",1,44077,85258,3404980.43576,3404980.43576,inf
"('43085', '78204')",1,43085,78204,1715118.35218,1715118.35218,inf
"('42701', '42718')",1,42701,42718,51668.8875898,51668.8875898,inf
"('76123', '76126')",1,76123,76126,12180.7409104,12180.7409104,inf
"('24873', '34145')",1,24873,34145,183363.963565,183363.963565,inf
"('80601', '80603')",3,80601,80603,7883.94604738,2627.98201579,7177.27695293
"('48042', '48044')",1,48042,48044,2207.27289421,2207.27289421,inf
"('11355', '91977')",1,11355,91977,4789106.08292,4789106.08292,inf
"('89511', '89521')",1,89511,89521,20553.1600971,20553.1600971,inf
